abbreviation,state,by_mail,online,in_person,link_to_register_online,link_to_register_by_mail,link_to_register_in_person,Additional Information,Source
SD,South Dakota,10/22/2018,Not Offered,10/22/2018,https://sdsos.gov/elections-voting/voting/register-to-vote/,https://sdsos.gov/elections-voting/assets/VoterRegistrationFormFillable.pdf,https://sdsos.gov/elections-voting/voting/register-to-vote/default.aspx,,
TN,Tennessee,10/9/2018,10/9/18,10/9/2018,https://ovr.govote.tn.gov/,https://sos-tn-gov-files.s3.amazonaws.com/forms/ss-3010.pdf,https://sos.tn.gov/products/elections/register-vote,,
TX,Texas,10/9/2018,Not Offered,10/9/2018,https://webservices.sos.state.tx.us/vrapp/index.asp,https://www.votetexas.gov/register-to-vote/where-to-get-an-application-2.html,http://www.votetexas.gov/register-to-vote/index.html,,
UT,Utah,10/9/2018,10/30/18,10/30/2018,https://secure.utah.gov/voterreg/login.html?selection=REGISTER,https://elections.utah.gov/Media/Default/Forms/Utah%20Voter%20Registration%20Form.pdf,https://elections.utah.gov/2018-election-information,,
VT,Vermont,11/6/2018,11/6/18,11/6/2018,https://olvr.sec.state.vt.us/,https://www.sec.state.vt.us/media/33935/2017-voter-app.pdf,https://www.sec.state.vt.us/elections/frequently-asked-questions/voter-registration.aspx#faq-2673,,
VA,Virginia,10/15/2018,10/15/18,10/15/2018,https://vote.elections.virginia.gov/Registration/Eligibility,https://www.elections.virginia.gov/Files/Forms/VoterForms/VoterRegistrationApplication.pdf,https://www.elections.virginia.gov/registration/how-to-register/index.html,,
WA,Washington,10/8/2018,10/8/18,10/29/2018,https://weiapplets.sos.wa.gov/MyVote/#/login,https://www.sos.wa.gov/_assets/elections/vrf_english_web.pdf,https://www.sos.wa.gov/elections/register.aspx,,
WV,West Virginia,10/16/2018,10/16/18,10/16/2018,https://ovr.sos.wv.gov/Register/Landing#Qualifications,https://sos.wv.gov/FormSearch/Elections/Voter/mail%20in%20voter%20registration%20application.pdf,https://ovr.sos.wv.gov/Register/Landing,,
WI,Wisconsin,10/17/2018,10/17/18,11/6/2018,https://myvote.wi.gov/en-us/VoterRegistration,https://elections.wi.gov/sites/default/files/publication/154/el_131_voter_registration_application_pdf_23730.pdf,https://myvote.wi.gov/en-us/MyVoterInfo,,
WY,Wyoming,10/22/2018,Not Offered,11/6/2018,https://soswy.state.wy.us/Elections/RegisteringToVote.aspx,https://soswy.state.wy.us/Forms/Elections/General/VoterRegistrationForm.pdf,https://soswy.state.wy.us/Elections/RegisteringToVote.aspx,,
